lag1,lag2,lag3,lag4,lag5,vol_moy_5j,vol_moy_10j,vol_moy_20j
0.0014345056843012571,-0.0005220569437369704,0.0015766563592478633,-0.0014313634019345045,-0.0009590461268089712,-0.001191475661471486,-0.002579682506620884,-0.008230013772845268
-0.0039949784986674786,-0.0004306522896513343,-0.0006517635192722082,-0.0006424108287319541,-0.001686485717073083,-0.0006260012160055339,-0.00334792654030025,-0.0047132400795817375
0.0006530465325340629,-0.0025146144907921553,0.00011470350727904588,-0.0014242078177630901,-0.0019679227843880653,-0.001573762740008533,-0.0017563089495524764,-0.008144979365170002
0.0006885667680762708,-0.0007197692175395787,-0.004842908587306738,-0.0005168818170204759,-0.0010031574638560414,-0.001892276224680245,-0.0016438544262200594,-0.005674645304679871
0.0004615847719833255,0.0004225321754347533,-0.0006548511446453631,4.53553038823884e-05,9.773861529538408e-05,-0.0017729905666783452,-0.0004441417404450476,-0.005973202642053366
-0.0005468749441206455,-0.00010420748731121421,0.0024258268531411886,9.809328184928745e-05,0.0015972390538081527,-0.0008476980729028583,-0.000333609088556841,-0.007084407843649387
0.00298156775534153,0.0004822930786758661,-0.0018124926136806607,0.0009949534432962537,-0.0009434472303837538,-0.0005984284216538072,0.0007796864374540746,-0.006012436933815479
0.0010747158667072654,0.0005578760174103081,-0.0008259048336185515,-6.245447002584115e-05,0.0006501961615867913,0.002375005278736353,2.345586835872382e-05,-0.0038936976343393326
0.003120047738775611,-0.0016630063764750957,0.005415274295955896,0.00018164110952056944,-0.0003585369559004903,-0.001982360379770398,0.0012791589833796024,-0.0034721950069069862
-0.006933740805834532,-7.851239206502214e-05,0.0021353033371269703,-0.0007261338760145009,-0.0012711482122540474,-0.001434552250429988,-0.0003894908004440367,-0.0024474754463881254
-0.00317960768006742,-1.0291845683241263e-05,0.0003065682831220329,0.0027333395555615425,-0.00017577988910488784,-0.0016298727132380009,0.0002460222749505192,-0.002364181214943528
-3.7778539990540594e-05,-0.0004780391464009881,-0.0032343962229788303,0.0008295532898046076,-0.0008667096262797713,-0.0017305710352957249,-0.000265385489910841,-0.003414713079109788
-0.002034911420196295,0.0007035503513179719,-0.0030635655857622623,-0.001839662087149918,-0.000653536175377667,0.003068439895287156,-0.0003562899655662477,-0.0038768413942307234
-0.003514132695272565,-0.002013901947066188,-0.0005803911481052637,-0.0006980033358559012,-0.0022052305284887552,-0.003728288458660245,-0.000936829368583858,-0.0019454736029729247
-0.003528114641085267,-0.00188259850256145,-0.001245794235728681,-0.0002798016066662967,-0.0014645785558968782,-0.0031340497080236673,-0.0013663778081536293,-0.0027209369000047445
0.0013823166955262423,-0.0017723990604281425,-0.0031780600547790527,-0.0005968124023638666,-0.00032206979813054204,-0.0021496049594134092,0.00017706751532386988,-0.003391650505363941
-0.0028798335697501898,-0.0009111636900343001,-0.0033145553898066282,-0.00015054474351927638,-0.0012661083601415157,-0.0007695879903621972,-0.0006087652291171253,-0.0044675664976239204
-0.0011803845409303904,-0.003699858207255602,-6.161010242067277e-05,-0.0011709716636687517,-0.002080201869830489,-0.0024365666322410107,-0.00032248080242425203,-0.003789561800658703
-0.0012755341595038772,-0.00053347711218521,-0.0030241820495575666,0.000393815862480551,-0.0017309741815552115,-0.0003004511527251452,-0.005255403928458691,-0.0038960466627031565
-0.0032606276217848063,-0.0011262911139056087,-0.0022845591884106398,-0.0007633856148459017,-0.0005201866733841598,0.0009071669192053378,-0.002052749041467905,-0.007252650801092386
-0.002846609568223357,-0.0022929173428565264,-0.0005423765396699309,-0.0006505319615826011,-0.00152844307012856,-0.0007258363766595721,-0.004855237435549498,-0.004464875906705856
-0.0035196589305996895,-0.0009230832220055163,-0.002001103013753891,-0.00023371573479380459,-0.0010797226568683982,-0.0001584899437148124,-0.005041052121669054,-0.00415378762409091
-0.0016640302492305636,-0.0016715943347662687,-0.0008675448480062187,-0.0012794494396075606,-0.0006569551187567413,-0.0004980991943739355,-0.005589695647358894,-0.0046585737727582455
-0.002231556223705411,-0.0006220879149623215,-0.0018517188727855682,-0.000814923201687634,-0.0014571045758202672,-0.0007615260547026992,-0.005211083218455315,-0.004759704694151878
-0.0022186965215951204,-0.0010299894493073225,-0.0011316637974232435,-0.001439942978322506,-0.001365745672956109,-0.0006777264643460512,-0.005384483374655247,-0.006312063429504633
-0.003445104695856571,-0.0009473564568907022,-0.0012081032618880272,-0.001251198467798531,-0.0015510260127484798,-0.0001811007532523945,-0.005731515120714903,-0.005776107776910067
-0.0010812669061124325,-0.0014721238985657692,-0.0012577177258208394,-0.0011600640136748552,-0.0013517296174541116,-0.0006443520542234182,-0.006047965493053198,-0.0074440003372728825
-0.0004444447113201022,-0.0007293691742233932,-0.002334140008315444,-0.0008725812076590955,-0.0012103952467441559,-0.0006272685714066029,-0.0056819189339876175,-0.00739324651658535
-0.0030714429449290037,-0.0005825789994560182,-0.0011541604762896895,-0.0012434234376996756,-0.001429147319868207,-0.0011208958458155394,-0.0054650031961500645,-0.007429571356624365
-0.00448181014508009,-0.0020963929127901793,-0.0007684289012104273,-0.001143377972766757,-0.0013569040456786752,-0.00039140996523201466,-0.006288502831012011,-0.0071145351976156235
-0.0006077197031117976,-0.0009940493619069457,-0.0019821522291749716,6.266316631808877e-05,-0.0006691133021377027,-0.0007845185464248061,-0.005831516347825527,-0.007169502787292004
-0.002651016926392913,-0.0007695439271628857,-0.0018107759533450007,-0.0009724035626277328,-0.00047404650831595063,-0.0008275064756162465,-0.005478480830788612,-0.00704346876591444
-0.0027657714672386646,-0.0012223684461787343,-0.0007311191293410957,-0.00179308804217726,-0.001831002184189856,-0.0009490762604400516,-0.0056139025837183,-0.007589362096041441
-0.002527509815990925,-0.0006012950325384736,-0.0013671061024069786,-0.0004418336902745068,-0.0011131719220429659,-0.000638060097116977,-0.005610988009721041,-0.005344427656382322
-0.0030498432461172342,-0.0009444467723369598,-0.001258302596397698,-0.0011374683817848563,-0.0010048238327726722,-0.0006982545019127429,-0.005862246733158827,-0.007255878299474716
-0.0029455304611474276,-0.0007659782422706485,-0.000993346911855042,-0.0018084306502714753,-0.001264104968868196,-0.00029507922590710223,-0.006363734602928162,-0.007174858823418617
-0.0030274572782218456,-0.0007267958135344088,-0.001083088805899024,-0.0017811963334679604,-0.001247576205059886,-0.0004137746000196785,-0.006469991989433765,-0.007569388952106237
-0.0009662190568633378,-0.0009971694089472294,-0.0014616033295169473,-0.0014318212633952498,-0.0014885003911331296,-0.000874943973030895,-0.006243807729333639,-0.007302678655833006
-0.0031831723172217607,-0.0006723490078002214,-0.0014784762170165777,-0.0018231780268251896,-0.001465138979256153,-0.0009863626910373569,-0.006102657411247492,-0.007040951866656542
-0.0028674525674432516,-0.0011635557748377323,-0.0007976224878802896,-0.0016691188793629408,-0.0017255996353924274,-0.0008725364459678531,-0.00623913761228323,-0.007390415295958519
-0.0027975020930171013,-0.0005130242207087576,-0.0011838183272629976,-0.0007637055241502821,-0.0010975889163091779,-0.0004750632506329566,-0.006387895904481411,-0.005869643297046423
-0.0013631475158035755,-0.0008432127069681883,-0.0013444338692352176,-0.001159039093181491,-0.0009215424070134759,-0.0008580005378462374,-0.006246264558285475,-0.0071191247552633286
-0.0026483777910470963,-0.0006185667007230222,-0.0013875646982342005,-0.0017927968874573708,-0.0013913741568103433,-0.0007423678180202842,-0.0062588900327682495,-0.00684650894254446
-0.003105351235717535,-0.0008635192643851042,-0.001055337954312563,-0.0016665862640365958,-0.001558317570015788,-0.0010285149328410625,-0.006153943482786417,-0.007290680892765522
